"SUID","forbidden","interaction","name","permanent","selected","shared interaction","shared name","Weight"
"71","false","interacts with","H (interacts with) J","false","false","interacts with","H (interacts with) J",
"72","false","interacts with","F (interacts with) J","false","false","interacts with","F (interacts with) J",
"73","false","interacts with","F (interacts with) G","false","false","interacts with","F (interacts with) G",
"74","false","interacts with","E (interacts with) G","false","false","interacts with","E (interacts with) G",
"75","false","interacts with","E (interacts with) F","false","false","interacts with","E (interacts with) F",
"76","false","interacts with","Node 4 (interacts with) Node 2","false","false","interacts with","Node 4 (interacts with) Node 2",
"77","false","interacts with","D (interacts with) G","false","false","interacts with","D (interacts with) G",
"78","false","interacts with","D (interacts with) F","false","false","interacts with","D (interacts with) F","1"
"79","false","interacts with","D (interacts with) E","false","false","interacts with","D (interacts with) E","1"
"80","false","interacts with","C (interacts with) F","false","false","interacts with","C (interacts with) F",
"81","false","interacts with","B (interacts with) C","false","false","interacts with","B (interacts with) C","1"
"82","false","interacts with","A (interacts with) C","false","false","interacts with","A (interacts with) C","1"
"83","false","interacts with","A (interacts with) B","false","false","interacts with","A (interacts with) B","2"
